TaskId,TaskType,AlgorithmId,ScoringTime,NumberTemporalQueries,SearchedItemPosition,SearchedObjectPositionSum,TotalObjectResults,FirstOccurrence,TotalResults,SearchedItemScore,VBSScore,AvgScore,MedianScore,BestScore,WorstScore
3584f2e1-e562-4e4c-bf25-80010918d001,KIST,NA,300186615,2,1190,862,2634,1190,20208,0.53321654,80.0,0.3647738,0.75,0.66534454,0.008249374
3584f2e1-e562-4e4c-bf25-80010918d001,KIST,IDA,254929887,2,1523,864,2634,1523,20347,0.5329666,80.0,0.38290232,0.5,0.6666667,0.008249374
3584f2e1-e562-4e4c-bf25-80010918d001,KIST,VITRIVR,830152336,2,2083,895,2634,2083,18794,0.5352863,62.0,0.3920608,0.75,1.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010918d001,KIST,CLUSTER,283774631,2,1083,851,2634,1083,11672,1.0352863,84.0,0.6314291,0.75,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010918d001,KIST,LNA,182008840,2,529,1209,2634,529,19962,0.5020094,81.0,0.34724495,0.75,0.6788587,0.008249374
3584f2e1-e562-4e4c-bf25-80010648d001,KIST,STA,243690013,2,46,271,2305,46,10764,0.5474049,94.0,0.19769922,0.3,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010648d001,KIST,SQA,44006999,2,90,284,2305,90,10839,0.5474049,96.0,0.2026624,0.2,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010648d001,KIST,NA,37295376,2,179,348,2305,179,10821,0.34740487,96.0,0.19580713,0.2,0.5467165,0.05993674
3584f2e1-e562-4e4c-bf25-80010648d001,KIST,IDA,40227216,2,189,351,2305,189,10823,0.34740487,96.0,0.19622213,0.2,0.54581124,0.05993674
3584f2e1-e562-4e4c-bf25-80010648d001,KIST,VITRIVR,261540792,2,226,350,2305,226,10768,0.34740487,84.0,0.19714049,0.3,0.55,0.05993674
3584f2e1-e562-4e4c-bf25-80010648d001,KIST,CLUSTER,37016152,2,447,348,2305,447,6604,0.67723286,97.0,0.32092786,0.3,26.800005,0.05993674
3584f2e1-e562-4e4c-bf25-80010648d001,KIST,LNA,32188293,2,170,347,2305,170,10808,0.34740487,96.0,0.19556208,0.3,0.54750776,0.05993674
3584f2e1-e562-4e4c-bf25-80010948d001,KIST,STA,162454077,2,18519,2021,2634,18519,19010,0.049582638,81.0,0.40921462,0.75,0.7158571,0.008249374
3584f2e1-e562-4e4c-bf25-80010948d001,KIST,SQA,779176476,2,7403,1334,2634,7403,20469,0.54958266,85.0,0.5071308,0.5,0.7158571,0.008249374
3584f2e1-e562-4e4c-bf25-80010948d001,KIST,NA,97280486,2,1052,1210,2634,1052,20249,0.50000614,82.0,0.3583142,0.5,0.66534454,0.008249374
3584f2e1-e562-4e4c-bf25-80010948d001,KIST,IDA,176169767,2,1411,1216,2634,1411,20346,0.5153558,81.0,0.37896386,0.75,0.6666667,0.008249374
3584f2e1-e562-4e4c-bf25-80010948d001,KIST,VITRIVR,607834775,2,2797,897,2634,2797,18729,0.5352863,64.0,0.4108543,0.5,1.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010948d001,KIST,CLUSTER,65975597,2,2902,1148,2634,2902,11734,0.5352863,86.0,0.692819,0.75,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010948d001,KIST,LNA,101003906,2,427,1205,2634,427,20107,0.5000263,82.0,0.34284538,0.5,0.6788587,0.008249374
3584f2e1-e562-4e4c-bf25-80010848d001,KIST,STA,1253413329,2,1141,667,2090,1141,10000,0.2,84.0,0.19043,0.3,0.3,0.1
3584f2e1-e562-4e4c-bf25-80010848d001,KIST,SQA,48072594,2,1267,673,2090,1267,10126,0.2,96.0,0.19364014,0.3,0.4666667,0.1
3584f2e1-e562-4e4c-bf25-80010848d001,KIST,NA,40505966,2,1235,670,2090,1235,10118,0.2,96.0,0.19227229,0.3,0.46587342,0.1
3584f2e1-e562-4e4c-bf25-80010848d001,KIST,IDA,30201951,2,1255,671,2090,1255,10123,0.2,96.0,0.1925443,0.2,0.4666667,0.1
3584f2e1-e562-4e4c-bf25-80010848d001,KIST,VITRIVR,226070914,2,1226,670,2090,1226,10068,0.2,85.0,0.19387498,0.3,0.6,0.1
3584f2e1-e562-4e4c-bf25-80010848d001,KIST,CLUSTER,33626037,2,2165,668,2090,2165,6177,0.2,97.0,0.3161729,0.2,26.800005,0.1
3584f2e1-e562-4e4c-bf25-80010848d001,KIST,LNA,26588087,2,1224,670,2090,1224,10115,0.2,96.0,0.19166705,0.2,0.47398192,0.1
3584f2e1-e562-4e4c-bf25-80010838d001,KIST,STA,163219639,2,0,432,3291,0,19872,0.7,93.0,0.19426832,0.3,0.7,0.1
3584f2e1-e562-4e4c-bf25-80010838d001,KIST,SQA,56803020,2,0,484,3291,0,19998,0.7,94.0,0.21972698,0.3,0.7,0.1
3584f2e1-e562-4e4c-bf25-80010838d001,KIST,NA,43725924,2,0,516,3291,0,19990,0.5,94.0,0.18114124,0.25,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010838d001,KIST,IDA,42361965,2,0,522,3291,0,19995,0.5,94.0,0.18240264,0.16673763,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010838d001,KIST,VITRIVR,712341008,2,42,529,3291,42,19771,0.5,70.0,0.18271543,0.16666667,0.6,0.1
3584f2e1-e562-4e4c-bf25-80010838d001,KIST,CLUSTER,38343082,2,281,513,3291,281,12583,1.0,95.0,0.2891441,0.2,26.800005,0.1
3584f2e1-e562-4e4c-bf25-80010838d001,KIST,LNA,29768804,2,0,514,3291,0,19986,0.5,94.0,0.17981057,0.25,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010558d001,KIST,STA,57647263,2,17,501,2708,17,13237,0.5,90.0,0.19064993,0.16666667,0.640264,0.05993674
3584f2e1-e562-4e4c-bf25-80010558d001,KIST,SQA,108863925,2,0,204,2708,0,13243,0.84740484,90.0,0.1976571,0.16666667,0.84740484,0.05993674
3584f2e1-e562-4e4c-bf25-80010558d001,KIST,NA,60608895,2,2,353,2708,2,13241,0.5,90.0,0.1879596,0.16666667,0.52964634,0.05993674
3584f2e1-e562-4e4c-bf25-80010558d001,KIST,IDA,36552966,2,6,492,2708,6,13242,0.5,91.0,0.18841769,0.25,0.5735599,0.05993674
3584f2e1-e562-4e4c-bf25-80010558d001,KIST,VITRIVR,299026363,2,8,492,2708,8,13182,0.5,94.0,0.18872409,0.25,0.640264,0.05993674
3584f2e1-e562-4e4c-bf25-80010558d001,KIST,CLUSTER,34945653,2,281,355,2708,281,8369,1.0,92.0,0.29840058,0.16666667,6.25,0.05993674
3584f2e1-e562-4e4c-bf25-80010558d001,KIST,LNA,31228198,2,0,352,2708,0,13240,0.5,91.0,0.18770242,0.25,0.5,0.05993674
3584f2e1-e562-4e4c-bf25-80010718d001,KIST,STA,219164797,2,12514,1986,2398,12514,13005,0.049582638,86.0,0.44003794,0.5,0.75,0.008249374
3584f2e1-e562-4e4c-bf25-80010718d001,KIST,SQA,146992877,2,12528,1987,2398,12528,13019,0.049582638,87.0,0.4512176,0.5,0.94152135,0.008249374
3584f2e1-e562-4e4c-bf25-80010718d001,KIST,NA,123101168,2,12524,1986,2398,12524,13015,0.049582638,87.0,0.4344667,0.5,0.8656384,0.008249374
3584f2e1-e562-4e4c-bf25-80010718d001,KIST,IDA,79571262,2,12526,1986,2398,12526,13017,0.049582638,88.0,0.43525004,0.5,0.8677467,0.008249374
3584f2e1-e562-4e4c-bf25-80010718d001,KIST,VITRIVR,406785776,2,12506,1986,2398,12506,12990,0.049582638,68.0,0.4344985,0.75,1.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010718d001,KIST,CLUSTER,42996344,2,6768,1986,2398,6768,7034,0.18023545,92.0,0.80395156,0.75,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010718d001,KIST,LNA,102947314,2,12520,1986,2398,12520,13011,0.049582638,87.0,0.4338538,0.5,0.87915254,0.008249374
3584f2e1-e562-4e4c-bf25-80010828d001,KIST,STA,330268467,2,0,429,3291,0,19872,0.7,92.0,0.19407207,0.3,0.7,0.1
3584f2e1-e562-4e4c-bf25-80010828d001,KIST,SQA,222726133,2,0,484,3291,0,19998,0.7,92.0,0.21972698,0.3,0.7,0.1
3584f2e1-e562-4e4c-bf25-80010828d001,KIST,NA,164462309,2,0,517,3291,0,19990,0.5,92.0,0.1811217,0.25,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010828d001,KIST,IDA,309938843,2,0,521,3291,0,19995,0.5,91.0,0.18233974,0.16671924,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010828d001,KIST,VITRIVR,605280901,2,43,528,3291,43,19793,0.5,71.0,0.18204753,0.16666667,0.6,0.1
3584f2e1-e562-4e4c-bf25-80010828d001,KIST,CLUSTER,106714710,2,279,510,3291,279,12582,1.0,94.0,0.28769937,0.3,26.800005,0.1
3584f2e1-e562-4e4c-bf25-80010828d001,KIST,LNA,117692908,2,0,513,3291,0,19983,0.5,93.0,0.17982294,0.16666667,0.5,0.1
3584f2e1-e562-4e4c-bf25-80010608d001,KIST,STA,58976866,2,55,383,2615,55,13162,0.5474049,96.0,0.21970326,0.3,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010608d001,KIST,SQA,155391428,2,120,420,2615,120,13237,0.5474049,94.0,0.2351936,0.2,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010608d001,KIST,NA,72483875,2,366,468,2615,366,13209,0.34740487,95.0,0.2086597,0.2,0.62709796,0.05993674
3584f2e1-e562-4e4c-bf25-80010608d001,KIST,IDA,42895586,2,530,471,2615,530,13221,0.34740487,95.0,0.21093813,0.2,0.5488025,0.05993674
3584f2e1-e562-4e4c-bf25-80010608d001,KIST,VITRIVR,357543118,2,359,464,2615,359,13063,0.34740487,79.0,0.20893812,0.2,0.55,0.05993674
3584f2e1-e562-4e4c-bf25-80010608d001,KIST,CLUSTER,37058036,2,655,470,2615,655,8035,0.67723286,97.0,0.34199223,0.2,26.800005,0.05993674
3584f2e1-e562-4e4c-bf25-80010608d001,KIST,LNA,45170352,2,224,463,2615,224,13195,0.34740487,95.0,0.20647192,0.2,0.59372604,0.05993674
3584f2e1-e562-4e4c-bf25-80010928d001,KIST,STA,257880397,2,2415,1171,2634,2415,19011,0.5352863,80.0,0.4019599,0.5,0.7158571,0.008249374
3584f2e1-e562-4e4c-bf25-80010928d001,KIST,SQA,455914398,2,7403,1058,2634,7403,20470,0.54958266,88.0,0.5071329,0.75,0.7158571,0.008249374
3584f2e1-e562-4e4c-bf25-80010928d001,KIST,NA,166916891,2,1127,902,2634,1127,20217,0.5179582,81.0,0.36212638,0.5,0.66534454,0.008249374
3584f2e1-e562-4e4c-bf25-80010928d001,KIST,IDA,327995327,2,1486,867,2634,1486,20347,0.52798015,80.0,0.38189217,0.5,0.6666667,0.008249374
3584f2e1-e562-4e4c-bf25-80010928d001,KIST,VITRIVR,987971633,2,2358,719,2634,2358,18738,0.5352863,60.0,0.3990781,0.75,1.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010928d001,KIST,CLUSTER,41088119,2,1166,855,2634,1166,11698,1.0352863,86.0,0.650371,0.75,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010928d001,KIST,LNA,278671758,2,482,893,2634,482,20020,0.5030582,80.0,0.34505802,0.75,0.6788587,0.008249374
3584f2e1-e562-4e4c-bf25-80010908d001,KIST,STA,178427363,2,3433,1231,2634,3433,19011,0.5,81.0,0.39131093,0.5,0.7158571,0.008249374
3584f2e1-e562-4e4c-bf25-80010908d001,KIST,SQA,561101761,2,7403,1058,2634,7403,20470,0.54958266,87.0,0.5071329,0.75,0.7158571,0.008249374
3584f2e1-e562-4e4c-bf25-80010908d001,KIST,NA,423760219,2,1230,859,2634,1230,20178,0.53484976,79.0,0.36936426,0.75,0.66534454,0.008249374
3584f2e1-e562-4e4c-bf25-80010908d001,KIST,IDA,281446441,2,2068,860,2634,2068,20347,0.534312,80.0,0.38291708,0.5,0.6666667,0.008249374
3584f2e1-e562-4e4c-bf25-80010908d001,KIST,VITRIVR,423276212,2,2978,893,2634,2978,18830,0.5,66.0,0.38191134,0.75,1.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010908d001,KIST,CLUSTER,251200240,2,1472,892,2634,1472,11647,1.0,84.0,0.605006,0.5,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010908d001,KIST,LNA,194226388,2,510,1208,2634,510,19863,0.52401793,81.0,0.34938428,0.5,0.6788587,0.008249374
3584f2e1-e562-4e4c-bf25-80010658d001,KIST,STA,86166933,2,58,385,2615,58,13162,0.5474049,95.0,0.2218154,0.3,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010658d001,KIST,SQA,151338031,2,120,420,2615,120,13237,0.5474049,94.0,0.2351936,0.2,0.6735973,0.05993674
3584f2e1-e562-4e4c-bf25-80010658d001,KIST,NA,54602680,2,350,469,2615,350,13219,0.34740487,95.0,0.20837638,0.2,0.592831,0.05993674
3584f2e1-e562-4e4c-bf25-80010658d001,KIST,IDA,77994115,2,488,470,2615,488,13221,0.34740487,95.0,0.21094997,0.2,0.5856746,0.05993674
3584f2e1-e562-4e4c-bf25-80010658d001,KIST,VITRIVR,417608466,2,668,467,2615,668,12923,0.34740487,78.0,0.2139951,0.2,0.5888492,0.05993674
3584f2e1-e562-4e4c-bf25-80010658d001,KIST,CLUSTER,50393441,2,698,474,2615,698,8038,0.67723286,96.0,0.34877554,0.3,26.800005,0.05993674
3584f2e1-e562-4e4c-bf25-80010658d001,KIST,LNA,87730549,2,227,466,2615,227,13209,0.34740487,95.0,0.20652263,0.2,0.5835852,0.05993674
3584f2e1-e562-4e4c-bf25-80010618d001,KIST,STA,187869376,2,4020,866,2410,4020,12398,0.2,95.0,0.21594612,0.3,0.55,0.1
3584f2e1-e562-4e4c-bf25-80010618d001,KIST,SQA,122037209,2,4095,902,2410,4095,12473,0.2,95.0,0.22890429,0.2,0.55,0.1
3584f2e1-e562-4e4c-bf25-80010618d001,KIST,NA,63756005,2,4071,847,2410,4071,12449,0.2,95.0,0.20511694,0.2,0.54920673,0.1
3584f2e1-e562-4e4c-bf25-80010618d001,KIST,IDA,78462105,2,4079,849,2410,4079,12457,0.2,95.0,0.20796047,0.2,0.55,0.1
3584f2e1-e562-4e4c-bf25-80010618d001,KIST,VITRIVR,217870051,2,3616,847,2410,3616,12270,0.2,81.0,0.2071984,0.3,0.55,0.1
3584f2e1-e562-4e4c-bf25-80010618d001,KIST,CLUSTER,53118699,2,3603,850,2410,3603,7605,0.2,97.0,0.3367916,0.2,26.800005,0.1
3584f2e1-e562-4e4c-bf25-80010618d001,KIST,LNA,129399708,2,4061,845,2410,4061,12439,0.2,95.0,0.20314875,0.2,0.55731523,0.1
3584f2e1-e562-4e4c-bf25-80010758d001,KIST,STA,82480647,2,10371,907,2588,10371,13756,0.38269117,87.0,0.43393925,0.75,0.9735973,0.008249374
3584f2e1-e562-4e4c-bf25-80010758d001,KIST,SQA,51751914,2,10723,964,2588,10723,13770,0.3969875,88.0,0.44871208,0.75,0.9735973,0.008249374
3584f2e1-e562-4e4c-bf25-80010758d001,KIST,NA,145250471,2,10228,1162,2588,10228,13767,0.34740487,87.0,0.42514598,0.5,0.76106757,0.008249374
3584f2e1-e562-4e4c-bf25-80010758d001,KIST,IDA,89155553,2,10266,1165,2588,10266,13768,0.3555019,87.0,0.4265901,0.75,0.84599894,0.008249374
3584f2e1-e562-4e4c-bf25-80010758d001,KIST,VITRIVR,207142044,2,10154,894,2588,10154,13716,0.38269117,68.0,0.42702296,0.75,1.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010758d001,KIST,CLUSTER,77250314,2,1788,898,2588,1788,7458,0.71251917,91.0,0.7902268,0.75,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010758d001,KIST,LNA,208163531,2,10175,1160,2588,10175,13764,0.34740594,86.0,0.42408738,0.75,0.7228062,0.008249374
3584f2e1-e562-4e4c-bf25-80010938d001,KIST,STA,40554320,2,3,927,1791,3,10531,0.5352863,90.0,0.47657585,0.5,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010938d001,KIST,SQA,36399432,2,0,648,1791,0,10532,0.54958266,90.0,0.47658414,0.75,0.54958266,0.008249374
3584f2e1-e562-4e4c-bf25-80010938d001,KIST,NA,61726961,2,3,648,1791,3,10532,0.5010233,89.0,0.4765748,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010938d001,KIST,IDA,89873633,2,3,648,1791,3,10532,0.52072823,89.0,0.4765781,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010938d001,KIST,VITRIVR,244613190,2,0,517,1791,0,10531,0.5352863,74.0,0.476654,0.5,0.5352863,0.008249374
3584f2e1-e562-4e4c-bf25-80010938d001,KIST,CLUSTER,62583591,2,719,648,1791,719,5551,1.0352863,92.0,0.9042191,0.5,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010938d001,KIST,LNA,26412596,2,3,648,1791,3,10532,0.5002013,90.0,0.47657475,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010708d001,KIST,STA,135115791,2,12514,1986,2398,12514,13005,0.049582638,87.0,0.43984228,0.5,0.75,0.008249374
3584f2e1-e562-4e4c-bf25-80010708d001,KIST,SQA,74620445,2,12528,1987,2398,12528,13019,0.049582638,88.0,0.4512176,0.5,0.94152135,0.008249374
3584f2e1-e562-4e4c-bf25-80010708d001,KIST,NA,51223042,2,12524,1986,2398,12524,13015,0.049582638,88.0,0.4342516,0.5,0.9120928,0.008249374
3584f2e1-e562-4e4c-bf25-80010708d001,KIST,IDA,112480403,2,12526,1986,2398,12526,13017,0.049582638,87.0,0.43501848,0.5,0.9115187,0.008249374
3584f2e1-e562-4e4c-bf25-80010708d001,KIST,VITRIVR,182389001,2,12513,1986,2398,12513,12999,0.049582638,70.0,0.4341948,0.5,1.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010708d001,KIST,CLUSTER,39020260,2,6768,1986,2398,6768,7034,0.18023545,92.0,0.8027993,0.75,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010708d001,KIST,LNA,113586706,2,12520,1986,2398,12520,13011,0.049582638,87.0,0.43369386,0.5,0.9225135,0.008249374
3584f2e1-e562-4e4c-bf25-80010958d001,KIST,STA,48574084,2,10045,1649,1791,10045,10530,0.049582638,90.0,0.47657028,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010958d001,KIST,SQA,119548762,2,10045,1649,1791,10045,10530,0.049582638,89.0,0.47657028,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010958d001,KIST,NA,70566997,2,10045,1649,1791,10045,10530,0.049582638,89.0,0.47657028,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010958d001,KIST,IDA,44988509,2,10045,1649,1791,10045,10530,0.049582638,90.0,0.47657028,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010958d001,KIST,VITRIVR,262777121,2,10045,1649,1791,10045,10530,0.049582638,74.0,0.47655767,0.75,0.5,0.008249374
3584f2e1-e562-4e4c-bf25-80010958d001,KIST,CLUSTER,27554544,2,5284,1649,1791,5284,5550,0.18023545,93.0,0.9041955,0.75,95.0,0.008249374
3584f2e1-e562-4e4c-bf25-80010958d001,KIST,LNA,45012323,2,10045,1649,1791,10045,10530,0.049582638,90.0,0.47657028,0.75,0.5491904,0.008249374
3584f2e1-e562-4e4c-bf25-80010808d001,KIST,STA,78470322,2,1141,667,2090,1141,10000,0.2,96.0,0.19043,0.3,0.3,0.1
3584f2e1-e562-4e4c-bf25-80010808d001,KIST,SQA,21170636,2,1141,667,2090,1141,10000,0.2,96.0,0.19043,0.3,0.3,0.1
3584f2e1-e562-4e4c-bf25-80010808d001,KIST,NA,71440967,2,1141,667,2090,1141,10000,0.2,96.0,0.19043,0.3,0.3,0.1
3584f2e1-e562-4e4c-bf25-80010808d001,KIST,IDA,36951823,2,1141,667,2090,1141,10000,0.2,96.0,0.19043,0.3,0.3,0.1
3584f2e1-e562-4e4c-bf25-80010808d001,KIST,VITRIVR,162045461,2,1141,667,2090,1141,10000,0.2,86.0,0.19043,0.3,0.3,0.1
3584f2e1-e562-4e4c-bf25-80010808d001,KIST,CLUSTER,31040949,2,1679,667,2090,1679,6140,0.2,97.0,0.3101466,0.3,26.800005,0.1
3584f2e1-e562-4e4c-bf25-80010808d001,KIST,LNA,134864634,2,1141,667,2090,1141,10000,0.2,95.0,0.19043,0.3,0.3,0.1
3584f2e1-e562-4e4c-bf25-80010528d001,KIST,STA,73917049,2,13,366,2139,13,10761,0.5,91.0,0.1739739,0.16666667,0.60818803,0.05993674
3584f2e1-e562-4e4c-bf25-80010528d001,KIST,SQA,32256883,2,0,135,2139,0,10767,0.84740484,91.0,0.17723039,0.16666667,0.84740484,0.05993674
3584f2e1-e562-4e4c-bf25-80010528d001,KIST,NA,32540475,2,0,164,2139,0,10764,0.81658256,75.0,0.1733586,0.25,0.81658256,0.05993674
3584f2e1-e562-4e4c-bf25-80010528d001,KIST,IDA,47636666,2,2,364,2139,2,10766,0.5,75.0,0.17345487,0.25,0.58657557,0.05993674
3584f2e1-e562-4e4c-bf25-80010528d001,KIST,VITRIVR,350555772,2,4,364,2139,4,10754,0.5,94.0,0.1734791,0.25,0.53431314,0.05993674
